S.no,Name,Instagram user
1,British Library ,britishlibrary
2,Library of Congress ,librarycongress
3,New York Public Library ,nypl
4,Library and Archives Canada ,libraryarchives
5,Russian State Library ,leninka_official
6,Royal Library Denmark ,detkglbibliotek
7,Bibliotheque nationale de Fr,labnf
8,University of Illinois Library ,uillinoislibrary
9,Bavarian State Library ,bsbmuenchen
10,Biblioteca Nacional de Espana,bne_biblioteca
11,Berlin State Library ,staatsbibliothek_zu_berlin
12,Boston Public Library ,bplboston
13,New York State Library ,nyslibrary
14,Harvard Library ,harvard.library
15,University of Michigan Library ,umichlibrary
16,Yale Library ,yalelibrary
17,National Library of Iran ,iranlibraries
18,"Bodleian Library  Oxford, United",bodleianlibraries
19,Vatican Library  ,bibliotecaapostolicavaticana
20,thomas j watson library ,metlibrary
21,state library nsw,statelibrarynsw
22,Library of Parliament Ottawa,library.parl.biblio
23,Thomas Fisher Rare Book Library,fisherlibrary
24,Seattle Public Library,seattlepubliclibrary
25,Abbey Library of Saint Gall ,stiftsbezirk_stiftsbibliothek
26,Austrian National Library,nationalbibliothek
27,The Morgan Library & Museum,themorganlibrary
28,Trinity College Library ,tcdlibrary
29,Salt Lake City Public Library,slcpl
30,State Library of Victoria,library_vic
31,Chateau de Chantilly Library,chateauchantilly
32,George Peabody Library ,jhulibraries
33,Phillips Exeter Academy Library ,pea_lib
34,The Library of Alexandria ,bibalexofficial
35,Stockholm Public Library ,stadsbibblanstockholm
36,The National Library of Singapore ,nlbsingapore
37,University of Coimbra General Library,bibliotecageraluc
38,National Library  Minsk,nlb_by
39,Central National Library of Rome ,bibliotecanazionaleroma
40,Folger Shakespeare Library,folgerlibrary
41,Library Company of Philadelphia,librarycompany
42,National Library of Ireland,nationallibraryofireland
43,National Library of Medicine,nlm_collections
44,National Library Singapore,nationallibrarysg
45,korea Univ library,kulib1905
46,University of seoul lib,uoslibrary
47,Alexandria Library virginia,alexlibraryva
48,Zentral- und Landesbibliothek Berlin (ZLB),zlb_berlin
49,Barrow Library & Archives,barrow.library
50,ANU Library,anu_library
51,"Beit Ariela, Tel Aviv, Israel",tlv_publiclibrary
52,Biblioteca de Catalunya,bibliotecadecatalunya
53,Biblioteca Nacional Brasilia,bibliotecanacionaldebrasilia
54,Brooklyn Public Library,bklynlibrary
55,Biblioteca Nacional de Chile,bnchile
56,Biblioteca Nazionale Firenze,bibliotecanazionale
57,Calgary Public Library,calgarylibrary
58,Halifax Public Libraries,hfxpublib
59,honk kong public lib,readingisjoyful
60,Universitaire Bibliotheken Leiden,ub.leiden
61,Cambridge University Library,cambridgeuniversitylibrary
62,Public Libraries Singapore,publiclibrarysg
63,San Diego Public Library,sdpubliclibrary
64,Baldwin Public Library,baldwinlib
65,hong kong central library,hong_kong_central_library
66,Toronto Public Library,torontolibrary
67,Western Libraries,westernulibs
68,University Of Glasgow Library,uofglibrary
69,National Library of Scotland,natlibscot
70,UCLA Library,uclalibrary
