,S.no,Name,Instagram user,Followers,Following,Mediacount
0,1,British Library ,britishlibrary,379586,189,1995
1,2,Library of Congress ,librarycongress,155115,27,2013
2,3,New York Public Library ,nypl,506012,478,4361
3,4,Library and Archives Canada ,libraryarchives,13237,395,270
4,5,Russian State Library ,leninka_official,14046,384,1516
5,6,Royal Library Denmark ,detkglbibliotek,1709,48,138
6,7,Bibliotheque nationale de Fr,labnf,116714,414,1584
7,8,University of Illinois Library ,uillinoislibrary,3327,154,796
8,9,Bavarian State Library ,bsbmuenchen,4366,296,916
9,10,Biblioteca Nacional de Espana,bne_biblioteca,62393,92,854
10,11,Berlin State Library ,staatsbibliothek_zu_berlin,4638,227,752
11,12,Boston Public Library ,bplboston,47063,249,2011
12,13,New York State Library ,nyslibrary,1969,232,1129
13,14,Harvard Library ,harvard.library,11635,657,499
14,15,University of Michigan Library ,umichlibrary,354,47,7
15,16,Yale Library ,yalelibrary,22941,1760,923
16,17,National Library of Iran ,iranlibraries,1949,97,6
17,18,"Bodleian Library  Oxford, United",bodleianlibraries,9402,132,204
18,19,Vatican Library  ,bibliotecaapostolicavaticana,6852,31,197
19,20,thomas j watson library ,metlibrary,58005,549,2028
20,21,state library nsw,statelibrarynsw,24857,301,1532
21,22,Library of Parliament Ottawa,library.parl.biblio,2184,16,179
22,23,Thomas Fisher Rare Book Library,fisherlibrary,27673,424,2081
23,24,Seattle Public Library,seattlepubliclibrary,39244,333,2065
24,25,Abbey Library of Saint Gall ,stiftsbezirk_stiftsbibliothek,3423,200,360
25,26,Austrian National Library,nationalbibliothek,11641,62,1427
26,27,The Morgan Library & Museum,themorganlibrary,138534,454,3676
27,28,Trinity College Library ,tcdlibrary,3709,688,562
28,29,Salt Lake City Public Library,slcpl,10468,791,933
29,30,State Library of Victoria,library_vic,57713,497,2950
30,31,Chateau de Chantilly Library,chateauchantilly,54221,1018,1311
31,32,George Peabody Library ,jhulibraries,2460,281,1214
32,33,Phillips Exeter Academy Library ,pea_lib,1029,385,391
33,34,The Library of Alexandria ,bibalexofficial,7779,0,1211
34,35,Stockholm Public Library ,stadsbibblanstockholm,7839,398,2930
35,36,The National Library of Singapore ,nlbsingapore,6204,5,605
36,37,University of Coimbra General Library,bibliotecageraluc,1566,42,323
37,38,National Library  Minsk,nlb_by,1428,143,575
38,39,Central National Library of Rome ,bibliotecanazionaleroma,4651,857,670
39,40,Folger Shakespeare Library,folgerlibrary,32392,545,2094
40,41,Library Company of Philadelphia,librarycompany,9776,334,2103
41,42,National Library of Ireland,nationallibraryofireland,24100,245,1971
42,43,National Library of Medicine,nlm_collections,12503,204,485
43,44,National Library Singapore,nationallibrarysg,14555,141,1510
44,45,korea Univ library,kulib1905,3313,30,125
45,46,University of seoul lib,uoslibrary,1420,103,195
46,47,Alexandria Library virginia,alexlibraryva,1681,441,1589
47,48,Zentral- und Landesbibliothek Berlin (ZLB),zlb_berlin,2562,926,303
48,50,ANU Library,anu_library,1391,209,159
49,51,"Beit Ariela, Tel Aviv, Israel",tlv_publiclibrary,3611,67,399
50,52,Biblioteca de Catalunya,bibliotecadecatalunya,3498,218,635
51,53,Biblioteca Nacional Brasilia,bibliotecanacionaldebrasilia,21883,177,1449
52,54,Brooklyn Public Library,bklynlibrary,50019,1097,1926
53,55,Biblioteca Nacional de Chile,bnchile,68493,103,1796
54,56,Biblioteca Nazionale Firenze,bibliotecanazionale,2559,128,218
55,57,Calgary Public Library,calgarylibrary,30548,395,1863
56,58,Halifax Public Libraries,hfxpublib,12338,321,1355
57,59,honk kong public lib,readingisjoyful,9707,0,712
58,60,Universitaire Bibliotheken Leiden,ub.leiden,1732,256,450
59,61,Cambridge University Library,cambridgeuniversitylibrary,24919,60,1183
60,62,Public Libraries Singapore,publiclibrarysg,31597,80,4156
61,63,San Diego Public Library,sdpubliclibrary,12216,795,1553
62,64,Baldwin Public Library,baldwinlib,2164,1326,2172
63,65,hong kong central library,hong_kong_central_library,1753,29,1268
64,66,Toronto Public Library,torontolibrary,37675,1341,1857
65,67,Western Libraries,westernulibs,3026,556,567
66,68,University Of Glasgow Library,uofglibrary,18416,702,1831
67,69,National Library of Scotland,natlibscot,12905,624,1234
68,70,UCLA Library,uclalibrary,10035,465,1704
